CategoryL3,2_4,10_1,16_1,1_3,20_1,5_6,11_2_1,10_3,10_2,8_5,11_2,4_7,14_1,4_5,2_3,10_4,6_4,18_1,13_1,19_1,15_1,15_2,11_2_2,7_4,11_1,3_4,3_6,17_1,3_5,12_1,5_7,1_5,3_3,1_4
Pores ion channels,137146,125241,57152,17704,215868,54316,104648,384752,77455,159791,109445,124330,568441,128512,342772,33008,38968,1198886,156691,67045,112946,80919,91983,119709,84795,95848,126480,105877,95837,133127,372902,414421,153293,410407
Citrate cycle (TCA cycle),171098,139576,113580,70628,208120,147681,145383,368879,99049,181573,140776,150999,579712,152126,313043,104840,142047,1201081,177410,100216,130939,110153,149781,165282,118602,103570,149054,122487,116610,140216,364571,385232,165751,369262
Pentose and glucuronate interconversions,118892,40409,98754,39879,168368,76400,60117,385487,45232,119268,46591,111016,594185,49860,338565,57314,71015,1278661,134568,53440,37694,48598,57262,66432,38607,34407,44763,41006,40725,52994,360887,407568,42211,401154
Protein folding and associated processing,177524,143640,157010,54334,234367,138568,150178,403399,112675,186780,153187,150379,603207,147013,343790,152844,165209,1228355,227351,110027,124699,114316,187944,192447,142951,106519,154621,118109,128147,133909,419701,419122,160954,409244
Oxidative phosphorylation,261951,228100,178857,97148,266817,165945,253199,435597,185386,241209,222821,224997,604952,235885,359157,164354,181848,1208520,234704,150383,204997,181608,237577,257539,178404,165027,218109,191215,184486,213919,446940,441998,253886,427274
Porphyrin and chlorophyll metabolism,175860,113985,62852,34713,261576,96338,140943,391995,80532,225631,114891,132699,606922,140644,339323,54286,73821,1282425,158432,63231,112000,132677,101788,259792,101638,100633,170500,96434,105428,123697,444061,413262,140784,399998
Carbon fixation pathways in prokaryotes,230959,199372,174770,76829,267040,188866,199493,449665,158885,239641,197078,206904,649148,206351,374955,164977,201296,1313680,253424,144364,175701,171062,221130,272619,170725,146226,204767,161092,168542,188986,479222,461388,223289,443986
Pentose phosphate pathway,181686,138759,171806,87764,276968,154211,142681,471598,120950,200563,147718,168674,651461,140022,409349,166864,183247,1337099,251278,119784,117793,126798,187523,203696,138418,106138,149216,119059,130378,132480,501079,489102,148113,491041
"Glycine, serine and threonine metabolism",190307,165105,215867,69835,258824,196500,180355,453539,136077,205464,183708,185905,651769,168688,382392,209103,234908,1311778,259894,134884,141484,130721,239575,192087,171498,118999,170255,131962,150449,152012,456435,464296,179434,454529
Energy metabolism,187030,165688,103777,52777,252316,75802,133135,454329,113526,215248,147795,154584,659195,173024,393469,76194,73828,1365604,202512,97704,152548,155362,136290,276250,122175,132863,167067,145920,138524,169191,503131,480326,198945,469435
Membrane and intracellular structural molecules,178012,181630,55694,26639,267658,70489,147701,471862,118607,208295,155361,176073,665693,180849,415284,49450,56755,1392269,192004,104175,160102,118819,132047,171464,117403,137025,175518,149275,137819,187488,460295,506243,216477,497376
Butanoate metabolism,200132,160123,132759,65928,251473,140688,175911,469235,133526,191921,158748,161261,674667,162769,400956,123325,143938,1394253,176675,117256,145338,125805,170477,191678,127589,122140,157573,135092,136705,144958,467406,487941,180151,475887
Nitrogen metabolism,183567,151070,141094,61686,262589,142398,142835,459682,111241,216864,153130,162198,674785,158810,393485,133791,153733,1391380,212417,107085,134140,129687,174319,206299,137508,122165,170295,130089,140844,149892,469686,479252,174487,467250
Chaperones and folding catalysts,206799,219161,157581,74761,276186,143877,185599,480015,171357,234677,203534,214963,688599,213386,401788,160547,170673,1394007,257781,153448,185015,173478,223456,273462,178919,158438,210454,174716,178697,208188,505114,494792,241796,479106
Methane metabolism,245452,182070,225391,93515,284322,182284,177930,499226,168313,237032,183761,202854,701952,181168,416318,206989,221376,1421823,292134,145595,151188,169047,231754,264193,172029,127098,181501,145556,156300,165748,529056,505223,186535,495671
Cysteine and methionine metabolism,196112,164797,236512,85314,300115,208420,183358,494753,143070,240287,191866,196487,707580,169448,414381,249572,268697,1420126,287240,153169,136654,153043,266660,265104,190786,118517,193325,130441,157147,148820,535476,504048,172809,493192
Starch and sucrose metabolism,174424,95477,312131,73888,213915,182569,144223,463723,104304,173768,148559,183413,716300,100187,386909,287492,276296,1444704,321177,126994,74788,97693,260507,142807,159241,69933,101136,78797,115790,90543,458140,471544,87419,458887
Amino acid related enzymes,263226,234499,346357,129598,355302,275794,259719,555626,216848,303275,262409,274889,745130,236294,450922,336140,362589,1452444,380686,220628,191728,210968,358586,328935,259908,166535,262479,183844,218917,205750,598613,552884,237323,536626
Others,225945,186277,234560,149211,305732,201222,195585,581295,174623,221329,184176,213953,808822,174586,489967,190630,220329,1665485,261422,151816,153047,164698,218272,290418,160087,132964,176653,163616,158830,165427,614449,593449,189280,582097
Ribosome Biogenesis,256103,308568,289741,138571,377361,257647,270234,599987,260508,316205,297451,271823,822179,285244,487544,294111,323883,1614991,341291,246560,247985,242604,359790,379903,281127,212245,310624,239424,254399,261060,640388,604116,323426,581067
Pyrimidine metabolism,288816,316395,423018,188760,397564,351679,315381,613996,296679,355740,335269,344884,830170,300214,482864,426533,466155,1589886,456638,296660,248548,281129,455964,446539,334302,213562,332534,244355,279753,267956,685357,600167,312023,573636
Fructose and mannose metabolism,187881,108387,105779,156970,253796,131689,125844,558217,111598,186503,107038,179607,832933,102264,474043,120634,138323,1769664,241549,109006,88810,111517,126923,185763,93258,77349,104076,114406,91270,105674,551364,575461,100850,560613
Ribosome,349388,361267,603105,245317,438997,483995,422340,631706,358283,415865,420064,424018,852235,351239,473079,601781,656979,1566576,576123,368126,281607,334455,612931,526119,431759,229052,395748,273628,325902,295648,722265,593668,343870,558918
Glycolysis / Gluconeogenesis,255825,191567,267485,152782,315882,288694,217070,599293,187096,245238,214527,244882,864206,185991,496721,291608,341530,1747728,343803,188548,155343,168308,300250,258225,208432,131641,191502,159427,176616,166592,606916,604919,188015,587440
Chromosome,277630,309086,276170,138041,403639,275374,291230,642929,248929,335778,315191,307833,864380,301492,534090,315350,345341,1697918,413692,243565,259655,255885,384569,395003,292798,227469,317502,250306,273665,282206,696323,655836,336270,638252
Amino sugar and nucleotide sugar metabolism,270677,236940,323714,190684,315431,269939,240820,599937,231559,274240,251849,294049,888444,221299,478943,338479,357221,1775458,428565,226617,185206,193370,348535,275941,246054,164406,229459,199266,215173,207639,592446,593539,225115,566433
Bacterial secretion system,198363,179509,116379,49045,267948,124758,162715,549868,131414,215411,168057,164441,892750,173088,464922,111228,125160,1877817,182510,115982,153878,121574,176136,181816,139352,129804,175113,149786,142047,166233,511114,574148,205756,548673
Arginine and proline metabolism,244982,155313,250142,82949,345261,202231,211566,604367,132159,270962,195286,237319,893093,181924,522320,240167,250019,1828867,343276,142105,145797,156241,260102,229774,181447,124087,183589,138339,158707,163982,621313,627101,175299,623137
Pyruvate metabolism,257879,216204,178268,127793,326200,259211,216017,609963,193431,255979,206931,237615,897006,207094,510192,190345,259172,1855352,293081,176496,179414,181785,237245,282245,179752,154313,211173,174069,181066,191597,616821,622511,224419,602335
Phosphotransferase system (PTS),181501,168174,45844,204316,314130,163381,119324,729765,151689,197572,135656,159514,1119985,122789,618031,118397,158957,2391899,170780,173324,126640,113588,140747,193228,115821,125357,155814,170088,137148,126413,679532,763761,162581,730049
Peptidases,353324,308771,418605,150651,475379,312448,330870,821749,281542,387118,332980,360154,1161034,303354,681486,397181,409781,2323357,505633,264228,250696,285904,441571,491766,315469,218405,316613,241481,277353,277758,907282,830271,314709,812374
Purine metabolism,416249,452476,567754,257874,575484,469412,454227,899453,400172,506026,473644,463831,1238615,434118,717990,545863,600787,2410351,595101,390921,366220,375695,614550,592830,456682,310232,475901,361597,393110,389761,970617,890564,465060,853101
DNA repair and recombination proteins,485619,541591,666498,296268,664763,564592,552779,1023043,477654,581425,578123,556875,1385669,523359,817026,680130,738036,2660193,750313,465937,440896,453468,762258,707318,558738,370721,559735,429245,474730,468711,1122805,1011719,559697,972642
Other ion-coupled transporters,308102,297342,241331,137850,521208,345104,248495,956910,209666,410573,282660,304635,1449520,296698,832938,205659,308753,3023729,400687,192934,257386,254118,299951,429436,252192,235467,317681,253081,264040,296049,986723,1011864,349105,985671
Function unknown,429649,434966,303504,141488,658641,300532,362245,1151739,300376,499846,406397,368919,1657230,423191,1001347,270599,311024,3411224,436277,276598,379740,307634,422274,484334,350259,331042,439266,368297,362445,412113,1161177,1219618,510312,1195849
Secretion system,447219,475558,258498,108585,624547,251659,352445,1148166,336302,466234,404394,337205,1761375,439114,988005,200523,236608,3652323,360871,290018,406626,311061,381369,476210,321747,352341,441952,395490,369759,422993,1128732,1211889,550433,1178179
Two-component system,503090,457854,208493,133162,677174,277190,390891,1245903,307699,485043,404153,365235,1762529,448889,1095565,170921,227052,3660558,402183,263730,416537,322726,361188,461575,301107,372798,435988,400779,385348,433198,1223815,1330093,551357,1308282
Transcription factors,479483,391626,345277,195616,754776,359238,329101,1511602,310182,508691,371413,367684,2203844,357269,1315736,328948,378465,4629416,510371,307142,327556,319104,422491,546821,323790,298485,379545,331852,339420,345012,1529000,1592146,431585,1567290
General function prediction only,758923,692007,628332,381773,1013770,708876,694519,1738015,577455,811716,697928,756736,2350076,690234,1465872,666855,795671,4735038,1007833,565143,594449,601379,819344,975068,621517,499253,698730,585597,591288,641272,1865523,1789166,751035,1743699
ABC transporters,1014645,678230,767054,370983,1678205,787985,633765,2970478,563003,1102692,720888,698149,4138346,665101,2633503,816367,902190,8637152,1125975,572048,577418,576002,916094,1063300,707045,521535,754104,569068,636923,606888,3120828,3125103,741481,3160260
Transporters,1771131,1195854,1750352,861955,2794973,1623207,1225069,5226757,1120052,1844660,1388658,1395386,7382307,1116132,4530762,2025450,2116176,15229189,2314051,1216680,954892,1020884,2025286,1799656,1424429,859311,1278053,1004554,1164276,999835,5395036,5419877,1193899,5420364
